Year,Price for systems up to 10 kW ($/Watt),Price for systems 10 - 100 kW ($/Watt),Price for systems > 100 kW ($/Watt)
1998,11.98620644,,
1999,11.91687,,
2000,11.20910508,,
2001,10.81548778,10.52517863,
2002,10.77880429,10.54960014,9.141302224
2003,9.792232866,9.402977502,8.240911133
2004,9.157214748,8.76616984,8.196194238
2005,8.793624326,8.433056921,8.008518388
2006,8.846911089,8.306585237,7.901751221
2007,8.948536928,8.577276901,7.580619234
2008,8.602142104,8.262741859,7.621050908
2009,8.207341802,7.914558228,7.694777202
2010,6.970696432,6.598790286,5.764732298
2011,6.190759094,5.696846782,4.923995284
2012,5.314948599,4.936682823,4.623478578
