year,miners-coal,fatalities-coal,"fatality-rate-coal-(per 100,000 workers)",miners-metal-nonmetal,fatalities-metal-nonmetal,"fatality-rate-metal-nonmetal-(per 100,000 workers)"
1900,"448,581","1,489",331.9355925,N/A,N/A,N/A
1901,"485,544","1,574",324.1724746,N/A,N/A,N/A
1902,"518,197","1,724",332.6920071,N/A,N/A,N/A
1903,"566,260","1,926",340.1264437,N/A,N/A,N/A
1904,"593,693","1,995",336.0322591,N/A,N/A,N/A
1905,"626,045","2,232",356.5238921,N/A,N/A,N/A
1906,"640,780","2,138",333.6558569,N/A,N/A,N/A
1907,"680,492","3,242",476.420002,N/A,N/A,N/A
1908,"690,438","2,445",354.1230349,N/A,N/A,N/A
1909,"666,552","2,642",396.3681753,N/A,N/A,N/A
1910,"725,030","2,821",389.0873481,N/A,N/A,N/A
1911,"728,348","2,656",364.6608489,N/A,883,N/A
1912,"722,662","2,419",334.7346339,N/A,874,N/A
1913,"747,644","2,785",372.503491,N/A,866,N/A
1914,"763,185","2,454",321.5472002,N/A,739,N/A
1915,"734,008","2,269",309.1246962,N/A,701,N/A
1916,"720,971","2,226",308.7502826,N/A,870,N/A
1917,"757,317","2,696",355.9935932,N/A,983,N/A
1918,"762,426","2,580",338.3934965,N/A,771,N/A
1919,"776,569","2,323",299.1363292,N/A,581,N/A
1920,"784,621","2,272",289.5665551,N/A,603,N/A
1921,"823,253","1,995",242.3313368,N/A,350,N/A
1922,"844,807","1,984",234.8465389,N/A,476,N/A
1923,"862,536","2,462",285.4373615,N/A,510,N/A
1924,"779,613","2,402",308.1015837,N/A,556,N/A
1925,"748,805","2,518",336.2691221,N/A,520,N/A
1926,"759,033","2,234",294.3218543,N/A,584,N/A
1927,"759,177","2,231",293.8708628,N/A,487,N/A
1928,"682,831","2,176",318.6732881,N/A,392,N/A
1929,"654,494","2,187",334.151268,N/A,476,N/A
1930,"644,006","2,063",320.3386304,N/A,376,N/A
1931,"589,705","1,463",248.0901468,"159,007",225,141.5032043
1932,"527,623","1,207",228.7618243,"116,079",139,119.746035
1933,"523,182","1,064",203.3709111,"125,347",159,126.8478703
1934,"566,426","1,226",216.4448666,"138,689",181,130.5078269
1935,"565,202","1,242",219.7444453,"177,160",222,125.3104538
1936,"584,582","1,342",229.565741,"193,957",308,158.7980841
1937,"589,856","1,413",239.5499919,"217,020",310,142.8439775
1938,"541,528","1,105",204.0522374,"192,567",247,128.2670447
1939,"539,375","1,078",199.8609502,"203,843",232,113.8130816
1940,"533,267","1,388",260.2823726,"213,619",307,143.7138082
1941,"546,692","1,266",231.5746343,"226,220",322,142.3393157
1942,"530,861","1,471",277.0970179,"210,409",361,171.5706077
1943,"486,516","1,451",298.2430177,"183,726",314,170.9066762
1944,"453,937","1,298",285.942763,"158,282",237,149.7327555
1945,"437,921","1,068",243.8796039,"145,637",174,119.4751334
1946,"463,079",968,209.0356073,"162,408",181,111.4477119
1947,"490,356","1,158",236.1549568,"174,586",220,126.012395
1948,"507,333",999,196.9120873,"176,364",203,115.1028555
1949,"485,306",585,120.5425031,"182,638",152,83.22473965
1950,"483,239",643,133.0604525,"180,955",164,90.63026719
1951,"441,905",785,177.6399905,"185,244",175,94.46999633
1952,"401,329",548,136.5463248,"186,463",209,112.0865802
1953,"351,126",461,131.2919009,"188,692",161,85.32423208
1954,"283,705",396,139.5816077,"177,425",139,78.34296181
1955,"260,089",420,161.4831846,"184,239",157,85.21539956
1956,"260,285",448,172.1190234,"200,807",172,85.65438456
1957,"254,725",478,187.6533517,"219,151",152,69.35857012
1958,"224,890",358,159.1889368,"269,076",167,62.06424951
1959,"203,597",293,143.9117472,"288,560",173,59.95286942
1960,"189,679",325,171.3421096,"289,001",185,64.01361933
1961,"167,568",294,175.4511601,"279,178",127,45.49069053
1962,"161,286",289,179.1848022,"269,927",216,80.02163548
1963,"157,126",284,180.7466619,"259,926",173,66.5574048
1964,"150,761",242,160.5189671,"260,939",179,68.59840806
1965,"148,734",259,174.1363777,"263,072",180,68.42233305
1966,"145,244",233,160.4197075,"261,993",195,74.42946949
1967,"139,312",222,159.3545423,"255,999",181,70.70340119
1968,"134,467",311,231.2835119,"246,039",182,73.97201257
1969,"133,302",203,152.2857872,"246,677",179,72.5645277
1970,"144,480",260,179.9557032,"242,788",165,67.96052523
1971,"142,108",181,127.3679174,"237,059",164,69.18108994
1972,"162,207",156,96.17340805,"185,115",234,126.4079086
1973,"151,892",132,86.90385274,"246,665",175,70.94642531
1974,"182,274",133,72.96707155,"271,606",158,58.17249987
1975,"224,412",155,69.06939023,"277,978",123,44.24810597
1976,"221,255",141,63.72737339,"278,605",113,40.55921466
1977,"237,506",139,58.52483727,"285,165",134,46.99033893
1978,"255,588",106,41.4729956,"288,577",136,47.12780298
1979,"260,429",144,55.29338131,"308,085",123,39.92404694
1980,"253,007",133,52.56771552,"301,635",103,34.14723092
1981,"249,738",153,61.26420489,"296,848",84,28.29731041
1982,"241,454",122,50.52722258,"230,025",51,22.1715031
1983,"200,199",70,34.96520962,"214,661",62,28.88275001
1984,"208,160",125,60.04996157,"219,727",80,36.40881639
1985,"197,049",68,34.509183,"218,112",57,26.13336268
1986,"185,167",89,48.06471996,"209,638",49,23.37362501
1987,"172,780",63,36.46255354,"213,532",67,31.37703014
1988,"166,278",53,31.87433094,"225,422",49,21.73700881
1989,"164,929",68,41.22986255,"234,459",48,20.4726626
1990,"168,625",66,39.14010378,"235,690",56,23.76002376
1991,"158,677",61,38.44287452,"230,107",53,23.03276302
1992,"153,128",55,35.91766365,"224,567",43,19.1479603
1993,"141,183",47,33.290127,"219,320",51,23.25369323
1994,"143,645",45,31.32723032,"225,498",40,17.73851653
1995,"132,111",47,35.5761443,"229,536",53,23.09005995
1996,"126,451",39,30.84198622,"229,045",47,20.51998516
1997,"126,429",30,23.72873312,"235,915",61,25.85677045
1998,"122,083",29,23.75433107,"235,561",51,21.65044299
1999,"114,489",35,30.57062251,"238,852",55,23.02681158
2000,"108,098",38,35.15328683,"240,450",47,19.5466833
2001,"114,458",42,36.69468277,"232,770",30,12.8882588
2002,"110,966",28,25.23295424,"218,148",42,19.25298421
2003,"104,824",30,28.61940014,"215,325",26,12.0747707
2004,"108,734",28,25.75091508,"220,274",27,12.25746116
2005,"116,436",23,19.75334089,"228,401",35,15.3239259
2006,"122,975",47,38.21915023,"240,522",26,10.80982197
2007,"122,936",34,27.65666688,"255,187",33,12.93169323
2008,"133,828",30,22.41683355,"258,918",23,8.883121297
2009,"134,089",18,13.42391993,"221,631",17,7.670407118
2010,"135,500",48,35.42435424,"225,676",23,10.19160212
2011,"143,437",21,14.64057391,"237,772",16,6.729135474
2012,"137,650",20,14.52960407,"250,228",16,6.394168518
2013,"123,259",20,16.22599567,"251,263",21,8.357776513
