Stock Ticker,Year,Type,Total Assets (thousands),Total Liabilities (thousands),Total Current Assets (thousands),Total Current Liabilities (thousands),Current Ratio,Total Debt (thousands),Long-term Debt (thousands),Total Stockholders' Equity (thousands),Leverage Ratio (Debt-equity),EBITDA (thousands),Operating Income / Operating profit / Recurring profit (thousands),Interest Expenses (thousands),Interest Coverage Ratio,Net cash provided by operating activities (thousands),Net Cash used in investing activities (thousands),Net cash provided by financing activities (thousands),Net Change in Cash and Cash equivalents (thousands),Notes,Interactive data,Full 10-K Text URL
BCEI,2010,10K,"516,104","159,723","14,351","23,238",0.618,"55,400","55,400","356,380",0.448,"47,860","6,939","18,059",0.38,"21,126","-32,944","9,297","-2,522","Other liabilities listed under Total Liabilities are not debt, and therefore only the Bank Revolving Credit is debt.",,http://www.sec.gov/Archives/edgar/data/1509589/000104746912003080/a2208047z10-k.htm
BCEI,2011,10K,"664,349","136,367","32,127","38,531",0.834,"6,600","6,600","527,982",0.258,"59,414","30,816","4,017",7.67,"57,603","-158,902","103,389","2,090",,,http://www.sec.gov/Archives/edgar/data/1509589/000104746912003080/a2208047z10-k.htm
BCEI,2012,10K,"1,002,490","423,972","55,304","102,603",0.539,"158,000","158,000","578,518",0.733,"144,897","77,903","4,133",18.85,"157,636","-305,277","149,819","2,178",,,http://www.sec.gov/Archives/edgar/data/1509589/000104746914001539/a2218561z10-k.htm
BCEI,2013,10K,"1,545,935","889,907","264,174","175,226",1.508,"508,847","508,847","656,028",1.357,"274,656","146,995","21,972",6.69,"307,016","-465,223","334,522","176,314",,,http://www.sec.gov/Archives/edgar/data/1509589/000104746914001539/a2218561z10-k.htm
BCEI,2014,10K,,,,,,,,,,,,,,,,,,,http://www.sec.gov/cgi-bin/viewer?action=view&cik=1509589&accession_number=0001558370-15-000218&xbrl_type=v,http://www.sec.gov/Archives/edgar/data/1509589/000155837015000218/bcei-20141231x10k.htm
CVX,2010,10K,"184,769,000","78,958,000","48,841,000","29,012,000",1.683,"11,190,000","11,003,000","105,081,000",0.751,"63,359,000","50,296,000","50,000",1005.92,"31,359,000","-20,915,000","-5,170,000","5,344,000",,,http://www.sec.gov/Archives/edgar/data/93410/000095012312002976/f60351e10vk.htm
CVX,2011,10K,"209,474,000","87,293,000","53,234,000","33,600,000",1.584,"10,024,000","9,684,000","121,382,000",0.719,"76,173,000","63,262,000",0,165.4,"41,095,000","-27,489,000","-11,769,000","1,804,000",,,http://www.sec.gov/Archives/edgar/data/93410/000095012312002976/f60351e10vk.htm
CVX,2012,10K,"232,982,000","95,150,000","55,720,000","34,212,000",1.629,"12,093,000","11,966,000","137,832,000",0.69,"72,121,000","58,708,000",0,191.3,"38,812,000","-24,796,000","-8,980,000","5,075,000",,,http://www.sec.gov/Archives/edgar/data/93410/000009341014000011/cvx-123113x10kdoc.htm
CVX,2013,10K,"253,753,000","103,326,000","50,250,000","33,018,000",1.522,"20,334,000","19,960,000","150,427,000",0.687,"63,154,000","48,968,000",0,126.2,"35,002,000","-35,609,000","-3,821,000","-4,694,000",,,http://www.sec.gov/Archives/edgar/data/93410/000009341014000011/cvx-123113x10kdoc.htm
CVX,2014,10K,,,,,,,,,,,,,,,,,,,http://www.sec.gov/cgi-bin/viewer?action=view&cik=93410&accession_number=0000093410-15-000010&xbrl_type=v,http://www.sec.gov/Archives/edgar/data/93410/000009341015000010/cvx-123114x10kdoc.htm
