date,construction-extraction
Jun-08,1005
Jul-08,993
Aug-08,1204
Sep-08,1993
Oct-08,1795
Nov-08,695
Dec-08,316
Jan-09,296
Feb-09,319
Mar-09,506
Apr-09,568
May-09,433
Jun-09,437
Jul-09,682
Aug-09,704
Sep-09,659
Oct-09,581
Nov-09,428
Dec-09,392
Jan-10,379
Feb-10,515
Mar-10,593
Apr-10,850
May-10,814
Jun-10,721
Jul-10,844
Aug-10,939
Sep-10,974
Oct-10,856
Nov-10,744
Dec-10,751
Jan-11,783
Feb-11,943
Mar-11,1083
Apr-11,1346
May-11,1309
Jun-11,1188
Jul-11,1130
Aug-11,1731
Sep-11,1990
Oct-11,1990
Nov-11,1886
Dec-11,1695
Jan-12,1363
Feb-12,1157
Mar-12,1376
Apr-12,1870
May-12,1967
Jun-12,1915
Jul-12,1744
Aug-12,1746
Sep-12,1774
Oct-12,1668
Nov-12,1395
Dec-12,1120
Jan-13,1018
Feb-13,1019
Mar-13,1169
Apr-13,1506
May-13,1910
Jun-13,1507
Jul-13,1381
Aug-13,1543
Sep-13,1558
Oct-13,1309
Nov-13,1371
Dec-13,951
Jan-14,817
Feb-14,1548
Mar-14,1694
Apr-14,2419
May-14,2579
Jun-14,2255
Jul-14,1867
Aug-14,1697
Sep-14,1552
Oct-14,1252
Nov-14,1047
Dec-14,957
Jan-15,912
Feb-15,1185
