year,state,coal-production
1960,Wyoming,"2,024"
1961,Wyoming,"2,529"
1962,Wyoming,"2,569"
1963,Wyoming,"3,124"
1964,Wyoming,"3,101"
1965,Wyoming,"3,260"
1966,Wyoming,"3,670"
1967,Wyoming,"3,588"
1968,Wyoming,"3,829"
1969,Wyoming,"4,602"
1970,Wyoming,"7,222"
1971,Wyoming,"8,052"
1972,Wyoming,"10,928"
1973,Wyoming,"14,886"
1974,Wyoming,"20,703"
1975,Wyoming,"23,804"
1976,Wyoming,"30,836"
1977,Wyoming,"46,028"
1978,Wyoming,"58,328"
1979,Wyoming,"71,523"
1980,Wyoming,"94,887"
1981,Wyoming,"102,969"
1982,Wyoming,"108,361"
1983,Wyoming,"112,214"
1984,Wyoming,"130,914"
1985,Wyoming,"140,714"
1986,Wyoming,"136,826"
1987,Wyoming,"146,850"
1988,Wyoming,"164,014"
1989,Wyoming,"171,558"
1990,Wyoming,"184,249"
1991,Wyoming,"193,854"
1992,Wyoming,"190,172"
1993,Wyoming,"210,129"
1994,Wyoming,"237,092"
1995,Wyoming,"263,822"
1996,Wyoming,"278,440"
1997,Wyoming,"281,881"
1998,Wyoming,"314,409"
1999,Wyoming,"337,119"
2000,Wyoming,"338,900"
2001,Wyoming,"368,749"
2002,Wyoming,"373,161"
2003,Wyoming,"376,270"
2004,Wyoming,"396,493"
2005,Wyoming,"404,319"
2006,Wyoming,"446,742"
2007,Wyoming,"453,568"
2008,Wyoming,"467,644"
2009,Wyoming,"431,107"
2010,Wyoming,"442,522"
2011,Wyoming,"438,673"
2012,Wyoming,"401,442"
1960,Kentucky,"66,846"
1961,Kentucky,"63,032"
1962,Kentucky,"69,212"
1963,Kentucky,"77,350"
1964,Kentucky,"82,747"
1965,Kentucky,"85,766"
1966,Kentucky,"93,156"
1967,Kentucky,"100,294"
1968,Kentucky,"101,156"
1969,Kentucky,"109,049"
1970,Kentucky,"125,305"
1971,Kentucky,"119,389"
1972,Kentucky,"121,187"
1973,Kentucky,"127,645"
1974,Kentucky,"137,197"
1975,Kentucky,"143,613"
1976,Kentucky,"143,972"
1977,Kentucky,"146,262"
1978,Kentucky,"135,689"
1979,Kentucky,"147,782"
1980,Kentucky,"150,144"
1981,Kentucky,"157,559"
1982,Kentucky,"150,215"
1983,Kentucky,"131,217"
1984,Kentucky,"159,541"
1985,Kentucky,"152,272"
1986,Kentucky,"153,933"
1987,Kentucky,"165,192"
1988,Kentucky,"157,852"
1989,Kentucky,"167,389"
1990,Kentucky,"173,322"
1991,Kentucky,"158,980"
1992,Kentucky,"161,068"
1993,Kentucky,"156,299"
1994,Kentucky,"161,642"
1995,Kentucky,"153,739"
1996,Kentucky,"152,425"
1997,Kentucky,"155,853"
1998,Kentucky,"150,295"
1999,Kentucky,"139,626"
2000,Kentucky,"130,688"
2001,Kentucky,"134,297"
2002,Kentucky,"124,388"
2003,Kentucky,"113,126"
2004,Kentucky,"114,743"
2005,Kentucky,"120,029"
2006,Kentucky,"121,127"
2007,Kentucky,"115,530"
2008,Kentucky,"120,778"
2009,Kentucky,"107,802"
2010,Kentucky,"105,267"
2011,Kentucky,"108,971"
2012,Kentucky,"90,942"
1960,West Virginia,"118,944"
1961,West Virginia,"113,074"
1962,West Virginia,"118,499"
1963,West Virginia,"132,568"
1964,West Virginia,"141,408"
1965,West Virginia,"149,191"
1966,West Virginia,"149,681"
1967,West Virginia,"153,749"
1968,West Virginia,"145,921"
1969,West Virginia,"141,011"
1970,West Virginia,"144,072"
1971,West Virginia,"118,258"
1972,West Virginia,"123,743"
1973,West Virginia,"115,448"
1974,West Virginia,"102,462"
1975,West Virginia,"109,283"
1976,West Virginia,"108,834"
1977,West Virginia,"95,433"
1978,West Virginia,"85,314"
1979,West Virginia,"113,126"
1980,West Virginia,"121,584"
1981,West Virginia,"112,814"
1982,West Virginia,"128,540"
1983,West Virginia,"115,049"
1984,West Virginia,"131,008"
1985,West Virginia,"127,764"
1986,West Virginia,"129,907"
1987,West Virginia,"136,676"
1988,West Virginia,"145,005"
1989,West Virginia,"153,580"
1990,West Virginia,"169,205"
1991,West Virginia,"167,352"
1992,West Virginia,"162,164"
1993,West Virginia,"130,525"
1994,West Virginia,"161,776"
1995,West Virginia,"162,997"
1996,West Virginia,"170,433"
1997,West Virginia,"173,743"
1998,West Virginia,"171,145"
1999,West Virginia,"157,978"
2000,West Virginia,"158,257"
2001,West Virginia,"162,631"
2002,West Virginia,"150,222"
2003,West Virginia,"139,755"
2004,West Virginia,"148,017"
2005,West Virginia,"153,655"
2006,West Virginia,"152,374"
2007,West Virginia,"153,522"
2008,West Virginia,"157,805"
2009,West Virginia,"137,038"
2010,West Virginia,"135,306"
2011,West Virginia,"134,785"
2012,West Virginia,"120,449"
1960,Pennsylvania,"84,242"
1961,Pennsylvania,"80,098"
1962,Pennsylvania,"82,209"
1963,Pennsylvania,"89,768"
1964,Pennsylvania,"93,715"
1965,Pennsylvania,"95,174"
1966,Pennsylvania,"94,384"
1967,Pennsylvania,"91,668"
1968,Pennsylvania,"87,661"
1969,Pennsylvania,"89,104"
1970,Pennsylvania,"90,220"
1971,Pennsylvania,"81,562"
1972,Pennsylvania,"83,045"
1973,Pennsylvania,"83,233"
1974,Pennsylvania,"87,079"
1975,Pennsylvania,"90,340"
1976,Pennsylvania,"92,005"
1977,Pennsylvania,"90,500"
1978,Pennsylvania,"86,514"
1979,Pennsylvania,"94,062"
1980,Pennsylvania,"93,125"
1981,Pennsylvania,"83,506"
1982,Pennsylvania,"79,359"
1983,Pennsylvania,"69,828"
1984,Pennsylvania,"77,494"
1985,Pennsylvania,"71,408"
1986,Pennsylvania,"71,648"
1987,Pennsylvania,"70,423"
1988,Pennsylvania,"70,645"
1989,Pennsylvania,"70,596"
1990,Pennsylvania,"70,514"
1991,Pennsylvania,"65,381"
1992,Pennsylvania,"68,981"
1993,Pennsylvania,"59,700"
1994,Pennsylvania,"62,237"
1995,Pennsylvania,"61,576"
1996,Pennsylvania,"67,942"
1997,Pennsylvania,"76,198"
1998,Pennsylvania,"81,036"
1999,Pennsylvania,"76,399"
2000,Pennsylvania,"74,619"
2001,Pennsylvania,"74,784"
2002,Pennsylvania,"68,471"
2003,Pennsylvania,"63,792"
2004,Pennsylvania,"66,023"
2005,Pennsylvania,"67,556"
2006,Pennsylvania,"66,178"
2007,Pennsylvania,"65,190"
2008,Pennsylvania,"65,455"
2009,Pennsylvania,"59,143"
2010,Pennsylvania,"58,964"
2011,Pennsylvania,"59,899"
2012,Pennsylvania,"55,506"
