Geography,Year,Coal Production (thousand short tons),Average Employees,Average Coal Production Per Employee (thousand short tons)
Illinois,2001,"33,783",3453,9.78
Illinois,2002,"33,358",3577,9.33
Illinois,2003,"31,760",3655,8.69
Illinois,2004,"31,912",3573,8.93
Illinois,2005,"32,014",3817,8.39
Illinois,2006,"32,729",3977,8.23
Illinois,2007,"32,857",3946,8.33
Illinois,2008,"33,074",3368,9.82
Illinois,2009,"34,021",3548,9.59
Illinois,2010,"33,465",3649,9.17
Illinois,2011,"37,938",4105,9.24
Illinois,2012,"48,763",4512,10.81
Kentucky,2001,"134,297",17534,7.66
Kentucky,2002,"124,388",17042,7.30
Kentucky,2003,"113,126",15255,7.42
Kentucky,2004,"114,743",15522,7.39
Kentucky,2005,"120,029",16990,7.06
Kentucky,2006,"121,127",17959,6.74
Kentucky,2007,"115,530",16986,6.80
Kentucky,2008,"120,778",18906,6.39
Kentucky,2009,"107,802",18850,5.72
Kentucky,2010,"105,267",17966,5.86
Kentucky,2011,"108,971",18634,5.85
Kentucky,2012,"90,942",16351,5.56
Pennsylvania,2001,"74,784",8386,8.92
Pennsylvania,2002,"68,471",7663,8.94
Pennsylvania,2003,"63,792",6920,9.22
Pennsylvania,2004,"66,023",7524,8.77
Pennsylvania,2005,"67,556",7609,8.88
Pennsylvania,2006,"66,178",7526,8.79
Pennsylvania,2007,"65,190",7649,8.52
Pennsylvania,2008,"65,455",8220,7.96
Pennsylvania,2009,"59,143",8081,7.32
Pennsylvania,2010,"58,964",8268,7.13
Pennsylvania,2011,"59,899",8665,6.91
Pennsylvania,2012,"55,506",8927,6.22
West Virginia,2001,"162,631",16579,9.81
West Virginia,2002,"150,222",16247,9.25
West Virginia,2003,"139,755",14905,9.38
West Virginia,2004,"148,017",16403,9.02
West Virginia,2005,"153,655",18611,8.26
West Virginia,2006,"152,374",20076,7.59
West Virginia,2007,"153,522",20049,7.66
West Virginia,2008,"157,805",22034,7.16
West Virginia,2009,"137,038",21671,6.32
West Virginia,2010,"135,306",21091,6.42
West Virginia,2011,"134,785",23307,5.78
West Virginia,2012,"120,449",22786,5.29
Wyoming,2001,"368,749",4365,84.48
Wyoming,2002,"373,161",4699,79.41
Wyoming,2003,"376,270",4800,78.39
Wyoming,2004,"396,493",4953,80.05
Wyoming,2005,"404,319",5050,80.06
Wyoming,2006,"446,742",5837,76.54
Wyoming,2007,"453,568",6383,71.06
Wyoming,2008,"467,644",6827,68.50
Wyoming,2009,"431,107",7054,61.12
Wyoming,2010,"442,522",6857,64.54
Wyoming,2011,"438,673",7039,62.32
Wyoming,2012,"401,442",7004,57.32
