state,taxes_collected,severance_taxes,percent_severance,
Alabama,"$9,293,754","$115,437",0.012420923,
Alaska,"$3,392,869","$2,456,212",0.723933638,
Arizona,"$13,084,043","$26,190",0.002001675,
Arkansas,"$8,936,781","$108,511",0.012142068,
California,"$138,069,870","$38,686",0.000280191,
Colorado,"$11,755,394","$245,087",0.020848897,
Connecticut,"$15,937,742",$0,0,
Delaware,"$3,176,169",X,X,
Florida,"$35,384,350","$49,100",0.001387619,
Georgia,"$18,628,502",X,X,
Hawaii,"$6,033,331",X,X,
Idaho,"$3,671,715","$6,004",0.001635203,
Illinois,"$39,182,894",X,X,
Indiana,"$16,846,961","$2,500",0.000148395,
Iowa,"$8,271,839",X,X,
Kansas,"$7,334,481","$124,883",0.017026835,
Kentucky,"$11,103,545","$241,989",0.021793851,
Louisiana,"$9,695,281","$862,150",0.088924705,
Maine,"$3,847,181",X,X,
Maryland,"$18,929,069",X,X,
Massachusetts,"$25,235,726",X,X,
Michigan,"$24,803,973","$73,488",0.002962751,
Minnesota,"$23,128,901","$42,062",0.001818591,
Mississippi,"$7,574,515","$91,059",0.01202176,
Missouri,"$11,240,657",$5,4.44814E-07,
Montana,"$2,655,553","$305,614",0.115084881,
Nebraska,"$4,877,401","$6,762",0.001386394,
Nevada,"$7,143,169","$111,395",0.015594619,
New Hampshire,"$2,282,507",X,X,
New Jersey,"$29,679,226",X,X,
New Mexico,"$5,757,432","$1,066,343",0.185211567,
New York,"$76,978,982",X,X,
North Carolina,"$23,396,751","$1,776",7.5908E-05,
North Dakota,"$6,120,435","$3,293,053",0.538042312,
Ohio,"$27,020,625","$10,194",0.000377267,
Oklahoma,"$9,103,302","$679,406",0.074632919,
Oregon,"$9,683,640","$23,424",0.002418925,
Pennsylvania,"$34,192,869",X,X,
Rhode Island,"$2,965,975",X,X,
South Carolina,"$8,932,564",X,X,
South Dakota,"$1,608,496","$8,950",0.005564204,
Tennessee,"$11,806,329","$2,487",0.00021065,
Texas,"$55,260,850","$6,014,350",0.10883564,
Utah,"$6,312,489","$155,743",0.024672201,
Vermont,"$2,962,531",X,X,
Virginia,"$18,949,272","$2,165",0.000114252,
Washington,"$19,447,899","$41,950",0.002157045,
West Virginia,"$5,379,937","$681,824",0.12673457,
Wisconsin,"$16,410,925","$8,984",0.00054744,
Wyoming,"$2,263,387","$883,025",0.390134343,
United States,"$865,752,089","$17,780,808",0.02053799,
