bonus_per_acre,auction_month_year
$76.60,May-15
$64.21,February-15
$417.93,November-14
$314.26 ,August-14
$908.18 ,May-14
$331.79 ,February-14
"$1,022.30 ",November-13
$88.56,August-13
$889.08 ,May-13
$899.13 ,February-13
"$1,997.75 ",November-12
$700.99,August-12
"$1,000.08",May-12
"$1,219.38",February-12
"$3,525.62 ",November-11
"$1,159.90 ",August-11
$777.55 ,May-11
"$2,089.65 ",February-11
"$1,406.87 ",November-10
"$1,536.35 ",August-10
"$2,967.61 ",May-10
"$1,177.57 ",February-10
"$1,214.40 ",November-09
$501.08 ,August-09
$354.47 ,May-09
$171.10 ,February-09
$83.99 ,November-08
$366.72 ,August-08
$250.07 ,May-08
$129.05 ,February-08
$180.26 ,November-07
$209.92 ,August-07
$81.33 ,May-07
$14.78 ,February-07
$40.00 ,November-06
$34.30 ,August-06
$188.10 ,May-06
