year,january-thousands-of-jobs,february,march,april,may,june,july,august,september,october,november,december
2005,123.0,122.6,123.7,123.4,125.2,126.9,127.6,127.1,126.1,126.4,128.0,128.1
2006,127.9,128.9,130.3,132.0,133.1,136.7,137.1,138.0,135.9,137.3,137.6,138.9
2007,139.9,140.6,141.8,142.2,143.7,147.2,148.6,149.3,147.3,148.5,151.9,153.1
2008,154.0,153.5,155.1,152.8,157.9,161.8,163.8,165.6,164.6,164.4,165.4,166.5
2009,165.1,163.2,161.4,159.3,160.1,162.0,160.4,159.0,157.9,157.4,156.7,155.4
2010,156.5,155.3,155.6,156.1,158.5,159.7,159.1,160.7,159.7,161.2,161.2,161.0
2011,162.0,163.1,165.5,167.9,170.1,173.5,174.8,174.9,176.0,177.8,178.2,180.7
2012,180.5,180.6,183.6,184.4,186.2,190.1,190.9,191.5,189.4,189.0,190.1,192.4
2013,192.3,193.0,193.0,192.9,192.8,193.9,195.2,195.6,193.2,192.4,193.6,194.2
2014,193.8,194.5,192.7,193.6,196.0,199.1,200.9,200.6,199.2,201.3,201.0,201.9
2015,199.2,196.8,196.6,192.0,193.0,,,,,,,
