year,january-thousands-of-jobs,february,march,april,may,june,july,august,september,october,november,december
2005,60.8,61.0,61.0,60.5,60.9,61.8,62.4,62.1,61.9,62.9,63.1,62.9
2006,63.3,63.6,63.5,64.2,64.3,65.5,66.1,66.6,66.3,67.1,67.6,67.9
2007,68.0,68.3,68.4,68.9,69.5,71.2,71.8,72.2,71.7,72.4,72.9,73.6
2008,72.6,73.5,74.1,75.0,75.5,77.4,77.9,78.1,77.5,78.5,78.7,79.3
2009,78.1,77.8,77.4,76.6,76.2,76.7,77.3,76.9,76.0,76.1,76.0,76.5
2010,76.8,76.9,77.1,77.0,77.3,78.4,79.1,79.2,78.9,79.6,79.9,80.7
2011,80.4,80.8,81.1,82.0,81.5,84.1,85.0,85.9,85.1,86.9,87.6,88.7
2012,88.7,89.6,90.3,90.5,91.4,93.2,94.4,94.5,93.8,94.3,95.0,96.0
2013,95.5,96.3,96.7,97.2,97.7,99.1,100.5,100.4,99.3,100.0,100.1,100.6
2014,99.8,99.9,99.6,100.4,101.0,101.7,103.9,104.0,102.9,103.2,103.2,103.6
2015,102.4,101.2,101.7,99.4,100.6,,,,,,,
