Year,Average Footage Drilled - All Wells
1949,3635
1950,3742
1951,3944
1952,4132
1953,4069
1954,4070
1955,4101
1956,4080
1957,4174
1958,4118
1959,4220
1960,4213
1961,4285
1962,4408
1963,4405
1964,4431
1965,4510
1966,4478
1967,4385
1968,4738
1969,4881
1970,4943
1971,4858
1972,4974
1973,5041
1974,4662
1975,4661
1976,4577
1977,4708
1978,4760
1979,4689
1980,4451
1981,4511
1982,4482
1983,4191
1984,4342
1985,4441
1986,4502
1987,4582
1988,4839
1989,4804
1990,4827
1991,4855
1992,5119
1993,5385
1994,5717
1995,5542
1996,5554
1997,5644
1998,5698
1999,5046
2000,4932
2001,5066
2002,5208
2003,5398
2004,5512
2005,5459
2006,5496
2007,5904
2008,6154
2009,7247
2010,7183
2011,
2012,7981
2013,8491
2014,
