State,2015_Need,2015_Households,2015_LIHEAP,2015_total_gap,2015_household_gap,2014_Need,2014_Households,2014_LIHEAP,2014_total_gap,2014_household_gap,2013_Need,2013_Households,2013_LIHEAP,2013_total_gap,2013_household_gap,2012_Need,2012_Households,2012_LIHEAP,2012_total_gap,2012_household_gap,2012_2015_total_gap_avg,2012_2015_household_gap_avg
Hawaii,"$258,506,372","118,514","$5,622,255","$252,884,117","$2,133.79",369713087.1,117418,"$6,158,927","$363,554,160","$3,096.24",344834044.2,112939,5416000,"$339,418,044","$3,005.32",342193792,109322,"$6,107,011","$336,086,781","$3,074.28","$322,985,776","$2,827"
Maine,"$477,949,995","187,113","$39,180,816","$438,769,179","$2,344.94",594301843.3,185023,"$39,195,339","$555,106,504","$3,000.20",499057851.5,181658,36046000,"$463,011,852","$2,548.81",508265799,177567,"$39,981,695","$468,284,104","$2,637.22","$481,292,910","$2,633"
Vermont,"$149,087,086","76,455","$18,965,161","$130,121,925","$1,701.94",205747249.8,75390,"$19,140,144","$186,607,106","$2,475.22",238270092.1,73897,18230000,"$220,040,092","$2,977.66",232919129.3,72458,"$19,529,156","$213,389,973","$2,945.02","$187,539,774","$2,525"
Connecticut,"$705,841,215","321,739","$85,764,007","$620,077,208","$1,927.27",799127248.1,313000,"$77,412,553","$721,714,695","$2,305.80",717525265.8,306192,76014000,"$641,511,266","$2,095.13",691139069.3,295477,"$79,531,964","$611,607,105","$2,069.90","$648,727,569","$2,100"
New Hampshire,"$125,680,192","118,151","$25,749,807","$99,930,385",$845.79,238925124.5,116655,"$25,536,004","$213,389,121","$1,829.23",329057050.5,114860,24321000,"$304,736,051","$2,653.11",325725581.1,109498,"$26,055,007","$299,670,574","$2,736.77","$229,431,533","$2,016"
Delaware,"$171,685,043","96,661","$12,547,203","$159,137,840","$1,646.35",212507669.9,95672,"$13,016,330","$199,491,340","$2,085.16",190020156.3,92509,12573000,"$177,447,156","$1,918.16",200305415.9,90020,"$11,956,809","$188,348,607","$2,092.30","$181,106,236","$1,935"
North Dakota,"$208,993,875","80,055","$25,460,493","$183,533,382","$2,292.59",262722583.3,79666,"$25,695,405","$237,027,178","$2,975.26",76744375.14,79328,18994000,"$57,750,375",$727.99,82697052.47,80713,"$26,217,648","$56,479,404",$699.76,"$133,697,585","$1,674"
Alaska,"$89,865,664","65,387","$17,481,696","$72,383,968","$1,107.01",126477349.7,65354,"$18,841,366","$107,635,984","$1,646.97",139289787.3,64873,10150000,"$129,139,787","$1,990.66",133419177.3,63665,"$18,001,573","$115,417,604","$1,812.89","$106,144,336","$1,639"
Alabama,"$1,723,130,970","740,078","$44,386,516","$1,678,744,454","$2,268.33",1694909985,733648,"$48,885,209","$1,646,024,776","$2,243.62",771048187,720742,47937000,"$723,111,187","$1,003.29",779351578.1,704570,"$47,407,516","$731,944,062","$1,038.85","$1,194,956,120","$1,639"
Massachusetts,"$1,057,463,362","639,275","$146,328,177","$911,135,185","$1,425.26",1210896307,631594,"$140,014,388","$1,070,881,919","$1,695.52",1159344937,616130,132150000,"$1,027,194,937","$1,667.17",1145219745,600353,"$132,731,128","$1,012,488,617","$1,686.49","$1,005,425,165","$1,619"
