state,stateLong,heat,cool,crisis,weather,other,note
WY,Wyoming,60,0,10,15,15,
WI,Wisconsin,60,0,9,15,16,"Note: In a declared heat emergency, <br>the state may provide crisis cooling assistance."
WV,West Virginia,50,0,24,15,11,
WA,Washington,40.17,0,31,15,13.83,
VA,Virginia,40,15,10,15,20,
VT,Vermont,70.62,0,16.3,0,13.08,
UT,Utah,60,0,6,15,19,Note: Crisis funds may be used for cooling <br>equipment repair or replacement.
TX,Texas,10,40,25,15,10,
TN,Tennessee,51,17,10,10,12,
SD,South Dakota,78,0,10,0,12,
SC,South Carolina,30,20,25,15,10,
RI,Rhode Island,55,0,10,15,20,
PA,Pennsylvania,55,0,20,15,10,
OR,Oregon,51.92,0,10,15,23.08,
OK,Oklahoma,40,28,10,2,20,
OH,Ohio,42.5,0,25,15,17.5,Note: Summer crisis program.
ND,North Dakota,60,0.1,4.9,15,20,"Note: If funds are available, the state may offer temporary cooling assistance in unusually high heat."
NC,North Carolina,37.21,0,43.52,11.83,7.44,Note: Crisis funds are available year round for heating and cooling crises.
NY,New York,65,1,16,10,8,
NM,New Mexico,41,15,10,14,20,"Note: Once-a-year benefit can be used for heating, cooling and expedited crisis."
NJ,New Jersey,65,4,6,15,10,
NH,New Hampshire,75,0,8,3,14,
NV,Nevada,55,1,15,5,24,Note: Combined year-round heating and cooling program.
NE,Nebraska,57,15,6,10,12,
MT,Montana,66.92,0,3,15,15.08,Note: Certain types of cooling assistance may be available during long periods of high heat.
MO,Missouri,42,0,28,10,20,Note: Unused winter crisis funds roll over to summer crisis.
MS,Mississippi,37,27,5,15,16,
MN,Minnesota,58.5,0,19,4.5,18,
MI,Michigan,25,0,60,5,10,
MA,Massachusetts,73.95,0,3,10,13.05,
MD,Maryland,73.74,0,5,2.18,19.08,Note: The 5% for crisis represents heating funds expedited in crises.
ME,Maine,67,0,5,15,13,
LA,Louisiana,30,37.2,10,12,10.8,
KY,Kentucky,35,0,41.3,13.5,10.2,
KS,Kansas,65,0,10,15,10,
IA,Iowa,60,0,5,15,20,
IN,Indiana,45,10,10,15,20,
IL,Illinois,45,0,15,15,25,Note: Cooling is provided in summer if funding is available.
ID,Idaho,61.92,0,1.06,15,22.02,
HI,Hawaii,0,65,15,0,20,
GA,Georgia,58.3,0,29.1,2.59,10.01,Note: Cooling is provided if funding is available.
FL,Florida,10.5,16,38,15,20.5,
DC,District of Columbia,45,15,10,15,15,
DE,Delaware,55,12.5,10,10,12.5,
CT,Connecticut,47.72,0,39.21,1.84,11.23,
CO,Colorado,65,0,5,15,15,
CA,California,14.2,14.2,31.6,15,25,Note: Heating and cooling are one year-round program.
AR,Arkansas,53,0,17,15,15,Note: Cooling is provided if funding is available.
AZ,Arizona,21.8,42.2,5,15,16,Note: Year-round crisis includes heating and cooling.
AK,Alaska,67,0,10,3,20,
AL,Alabama,35,32,16,2,15,
