month-year,average-monthly-crude-oil-price-inflation-adjusted-dollarsperbarrel,total-oilgas-employment-us-seasonally-adjusted-thousandsofemployees
January 1978,55.66,172.3
February 1978,54.97,173.2
March 1978,55.23,174.5
April 1978,54.16,175.0
May 1978,54.07,174.6
June 1978,53.76,176.8
July 1978,53.17,177.1
August 1978,52.74,178.2
September 1978,52.52,179.2
October 1978,52.40,179.9
November 1978,52.48,181.0
December 1978,52.88,181.7
January 1979,54.39,183.5
February 1979,55.15,185.4
March 1979,56.42,186.4
April 1979,59.85,187.9
May 1979,63.96,189.0
June 1979,70.01,191.4
July 1979,76.02,192.5
August 1979,78.20,194.1
September 1979,80.96,195.5
October 1979,80.06,197.4
November 1979,85.45,199.4
December 1979,90.36,201.4
January 1980,94.75,203.4
February 1980,98.57,204.5
March 1980,100.28,206.8
April 1980,99.64,211.1
May 1980,100.99,214.4
June 1980,100.45,217.2
July 1980,100.42,220.5
August 1980,99.49,223.2
September 1980,98.72,225.9
October 1980,98.27,229.5
November 1980,98.53,231.5
December 1980,99.12,234.4
January 1981,107.08,237.5
February 1981,106.52,241.0
March 1981,103.92,243.6
April 1981,103.61,246.6
May 1981,101.39,248.4
June 1981,98.34,253.6
July 1981,96.09,257.3
August 1981,93.38,259.1
September 1981,91.49,260.1
October 1981,91.17,261.6
November 1981,92.78,263.5
December 1981,91.82,265.1
January 1982,90.49,266.0
February 1982,90.05,266.3
March 1982,86.47,267.0
April 1982,83.03,265.8
May 1982,82.15,265.5
June 1982,83.73,264.9
July 1982,82.43,265.0
August 1982,81.06,264.8
September 1982,81.26,263.9
October 1982,81.54,262.8
November 1982,81.15,262.0
December 1982,80.81,261.3
January 1983,77.09,260.1
February 1983,75.44,258.0
March 1983,69.65,256.4
April 1983,67.99,256.3
May 1983,69.12,255.7
June 1983,70.68,254.7
July 1983,69.26,254.9
August 1983,70.83,254.7
September 1983,70.72,254.7
October 1983,70.75,254.4
November 1983,69.16,254.5
December 1983,69.45,253.7
January 1984,67.80,252.9
February 1984,67.72,253.5
March 1984,67.62,253.3
April 1984,67.73,253.5
May 1984,67.95,253.7
June 1984,67.65,253.4
July 1984,66.96,252.1
August 1984,66.58,251.0
September 1984,65.88,250.6
October 1984,65.84,250.7
November 1984,65.60,249.9
December 1984,63.83,249.0
January 1985,62.51,248.5
February 1985,61.03,247.7
March 1985,61.21,247.0
April 1985,61.97,246.6
May 1985,61.88,245.7
June 1985,60.93,245.7
July 1985,59.29,245.0
August 1985,59.27,244.9
September 1985,59.05,243.7
October 1985,59.34,241.9
November 1985,59.80,240.3
December 1985,57.53,239.9
January 1986,54.52,236.7
February 1986,39.68,233.4
March 1986,31.33,230.8
April 1986,29.08,225.5
May 1986,29.04,219.8
June 1986,26.91,216.5
July 1986,23.95,215.4
August 1986,26.03,209.4
September 1986,28.08,204.2
October 1986,27.87,204.3
November 1986,29.30,203.0
December 1986,30.74,200.1
January 1987,35.49,199.3
February 1987,36.50,198.3
March 1987,36.97,197.6
April 1987,38.15,197.3
May 1987,38.82,197.3
June 1987,39.62,196.3
July 1987,40.68,197.2
August 1987,40.63,197.2
September 1987,38.91,198.2
October 1987,38.73,198.9
November 1987,37.78,198.7
December 1987,35.76,199.6
January 1988,32.01,196.8
February 1988,31.92,196.4
March 1988,30.39,196.3
April 1988,32.03,195.6
May 1988,32.58,195.1
June 1988,31.57,193.7
July 1988,30.04,194.0
August 1988,28.92,193.9
September 1988,27.84,193.2
October 1988,26.16,193.1
November 1988,25.29,193.1
December 1988,28.10,192.9
January 1989,31.81,192.5
February 1989,32.83,191.7
March 1989,34.95,191.6
April 1989,38.25,191.8
May 1989,37.01,191.3
June 1989,35.38,191.7
July 1989,34.73,190.9
August 1989,33.26,190.7
September 1989,33.93,190.2
October 1989,35.06,189.6
November 1989,34.97,189.3
December 1989,38.15,190.2
January 1990,38.66,191.3
February 1990,37.14,191.9
March 1990,35.40,191.0
April 1990,31.06,190.8
May 1990,29.92,190.8
June 1990,28.03,190.3
July 1990,30.46,190.8
August 1990,44.31,190.4
September 1990,54.20,190.5
October 1990,59.24,188.4
November 1990,54.27,188.1
December 1990,45.78,189.0
January 1991,39.79,190.6
February 1991,32.63,191.0
March 1991,31.35,190.3
April 1991,32.59,190.1
May 1991,32.54,190.7
June 1991,31.42,192.0
July 1991,32.01,192.2
August 1991,32.92,192.6
September 1991,33.33,191.9
October 1991,34.79,191.3
November 1991,33.75,190.2
December 1991,29.86,189.1
January 1992,27.98,188.3
February 1992,27.75,188.3
March 1992,28.27,188.4
April 1992,29.95,187.6
May 1992,32.33,186.9
June 1992,34.02,183.7
July 1992,33.77,182.0
August 1992,32.86,178.8
September 1992,32.81,173.8
October 1992,32.80,175.8
November 1992,31.12,175.8
December 1992,28.61,175.6
January 1993,28.28,175.2
February 1993,29.24,173.5
March 1993,29.89,172.8
April 1993,30.67,172.2
May 1993,29.82,171.5
June 1993,27.98,171.0
July 1993,26.30,169.4
August 1993,25.96,169.9
September 1993,25.39,169.3
October 1993,25.74,168.8
November 1993,23.13,169.2
December 1993,20.63,167.0
January 1994,21.24,166.3
February 1994,21.13,164.7
March 1994,21.53,164.2
April 1994,23.74,163.0
May 1994,25.65,162.7
June 1994,27.69,161.7
July 1994,28.38,161.2
August 1994,26.87,162.1
September 1994,25.61,163.7
October 1994,26.17,161.3
November 1994,26.41,159.8
