cartodb_id,the_geom,natural_gas,error,id2,population_estimate,city,geography,id,location,lat,lon
31,0101000020E6100000E4F32FEEABEF58C05FDF3DF6696B4840,,417,3805740,1904,"Belcourt CDP, ND","Belcourt CDP, North Dakota",1600000US3805740,,48.8391712,-99.7448688
37,0101000020E61000000AC3DBDEC97159C0031C8C22B5A14740,,19,3806660,3286,"Beulah, ND","Beulah city, North Dakota",1600000US3806660,,47.2633403,-101.7779462
40,0101000020E6100000F72576C8283259C07C3DA94077674740,true,52,3807200,66980,"Bismarck, ND","Bismarck city, North Dakota",1600000US3807200,"Bismarck, ND",46.8083268,-100.7837392
42,0101000020E61000004AF89452861C59C027E208ADE2694840,,186,3808460,2273,"Bottineau, ND","Bottineau city, North Dakota",1600000US3808460,,48.8272301,-100.4456984
45,0101000020E61000006B1F3C2446D959C0CD12AE916E174740,true,119,3808700,1677,"Bowman, ND","Bowman city, North Dakota",1600000US3808700,"Bowman, ND",46.1830618,-103.3949061
54,0101000020E6100000B4F51D0D715B59C02E3DF5A33C234840,true,277,3810940,1234,"Burlington, ND","Burlington city, North Dakota",1600000US3810940,"Burlington, ND",48.2752881,-101.4287751
59,0101000020E6100000BC90B3556ECD58C0D4C0EA234B3E4840,,121,3811860,1089,"Cando, ND","Cando city, North Dakota",1600000US3811860,,48.4866681,-99.2098593
63,0101000020E61000005BBF4F0B14C858C04BEDA06D90B94740,true,164,3812340,2011,"Carrington, ND","Carrington city, North Dakota",1600000US3812340,"Carrington, ND",47.4497201,-99.1262234
65,0101000020E6100000C8DA954C844D58C0E98B738A44734740,true,28,3812700,2466,"Casselton, ND","Casselton city, North Dakota",1600000US3812700,"Casselton, ND",46.9005292,-97.2111999
67,0101000020E6100000BDBE7BECD36758C0F73306E79D654840,true,164,3812940,1230,"Cavalier, ND","Cavalier city, North Dakota",1600000US3812940,"Cavalier, ND",48.7938813,-97.6223098
79,0101000020E6100000EB6DD85BEF8758C0158B845BE3B84740,,119,3815900,1091,"Cooperstown, ND","Cooperstown city, North Dakota",1600000US3815900,,47.4444384,-98.1239843
82,0101000020E6100000E77118CCDFD259C03F81C17F04754840,,134,3816940,1064,"Crosby, ND","Crosby city, North Dakota",1600000US3816940,,48.9141998,-103.2949095
92,0101000020E6100000FA861D215EB758C07A56D28A6F0E4840,true,25,3819420,7275,"Devils Lake, ND","Devils Lake city, North Dakota",1600000US3819420,"Devils Lake, ND",48.112779,-98.8651202
94,0101000020E610000055C8F03389B259C079B878D388704740,true,21,3819620,21097,"Dickinson, ND","Dickinson city, North Dakota",1600000US3819620,"Dickinson, ND",46.8791756,-102.7896242
111,0101000020E6100000A09F4E1EBBA158C05B87591E5A004740,,131,3823220,1466,"Ellendale, ND","Ellendale city, North Dakota",1600000US3823220,,46.0027502,-98.5270458
121,0101000020E610000041518F238C3258C0E77F03A447704740,true,50,3825700,113464,"Fargo, ND","Fargo city, North Dakota",1600000US3825700,"Fargo, ND",46.8771863,-96.7898034
144,0101000020E610000016FA60199B5A59C0919BE1067CD34740,true,178,3829460,1377,"Garrison, ND","Garrison city, North Dakota",1600000US3829460,"Garrison, ND",47.6522225,-101.4157165
155,0101000020E61000000B28D4D3475A58C0D8C7F951C3344840,true,30,3831820,4282,"Grafton, ND","Grafton city, North Dakota",1600000US3831820,"Grafton, ND",48.4122107,-97.410634
156,0101000020E61000004681994A1A4258C0683398D06EF64740,true,28,3832060,54944,"Grand Forks, ND","Grand Forks city, North Dakota",1600000US3832060,"Grand Forks, ND",47.9252568,-97.0328547
175,0101000020E61000000C23BDA8DDFB58C050FD834886E24740,,116,3835900,1920,"Harvey, ND","Harvey city, North Dakota",1600000US3835900,,47.769723,-99.935404
181,0101000020E610000049D74CBED96759C0B22FD978B0A54740,,162,3836780,2578,"Hazen, ND","Hazen city, North Dakota",1600000US3836780,,47.294448,-101.622665
