cartodb_id,the_geom,natural_gas,error,id2,population_estimate,city,geography,id,location,lat,lon
7,0101000020E610000018CDCAF621E959C01D07B9E6E9EB4740,true,80,3801180,225,"Alexander, ND","Alexander city, North Dakota",1600000US3801180,"Alexander, ND",47.8430756,-103.642698
19,0101000020E61000002A8991CA39DC59C0F66805E165E74740,true,47,3803220,88,"Arnegard, ND","Arnegard city, North Dakota",1600000US3803220,"Arnegard, ND",47.8077966,-103.4410273
30,0101000020E61000007C3FDAA447005AC0C37C1E4883754740,true,143,3805420,955,"Beach, ND","Beach city, North Dakota",1600000US3805420,"Beach, ND",46.9180689,-104.0043728
32,0101000020E61000002F04EF9AC6CC59C0653ACF3351714740,true,160,3805820,969,"Belfield, ND","Belfield city, North Dakota",1600000US3805820,"Belfield, ND",46.8852906,-103.1996219
36,0101000020E61000004E48C6C52C6F59C01A321EA512284840,true,77,3806460,372,"Berthold, ND","Berthold city, North Dakota",1600000US3806460,"Berthold, ND",48.313069,-101.7371077
47,0101000020E610000070815F7E023358C02C19B61C9E644740,true,31,3809320,67,"Briarwood, ND","Briarwood city, North Dakota",1600000US3809320,"Briarwood, ND",46.7860752,-96.7970272
53,0101000020E6100000F0B8F2A32B6358C013D731AEB8754740,true,42,3810420,173,"Buffalo, ND","Buffalo city, North Dakota",1600000US3810420,"Buffalo, ND",46.9196985,-97.5495386
72,0101000020E610000059C40B7D8BC758C0E9EC09B721724740,true,62,3814660,113,"Cleveland, ND","Cleveland city, North Dakota",1600000US3814660,"Cleveland, ND",46.8916539,-99.1178887
86,0101000020E6100000E2067C7E18F058C0CB7A7B212E6F4740,true,46,3818260,74,"Dawson, ND","Dawson city, North Dakota",1600000US3818260,"Dawson, ND",46.8685953,-99.751495
91,0101000020E61000004BD6975B106459C08FA67A32FF204840,true,66,3819300,228,"Des Lacs, ND","Des Lacs city, North Dakota",1600000US3819300,"Des Lacs, ND",48.257788,-101.5634984
113,0101000020E61000005FF305885D5758C0560E2DB29DF54740,true,107,3824060,360,"Emerado, ND","Emerado city, North Dakota",1600000US3824060,"Emerado, ND",47.918875,-97.3650837
116,0101000020E61000007855B142DBD659C0D5F48F74BC234840,true,63,3824540,97,"Epping, ND","Epping city, North Dakota",1600000US3824540,"Epping, ND",48.2791887,-103.3571326
138,0101000020E610000035E1A826523558C01C63827577664740,true,69,3828720,219,"Frontier, ND","Frontier city, North Dakota",1600000US3828720,"Frontier, ND",46.8005206,-96.8331391
147,0101000020E61000004F80176C59A459C017CAD303306E4740,true,113,3830460,366,"Gladstone, ND","Gladstone city, North Dakota",1600000US3830460,"Gladstone, ND",46.8608403,-102.5679579
150,0101000020E6100000F7AC6BB41C7559C05F494D1652684740,true,119,3830860,716,"Glen Ullin, ND","Glen Ullin city, North Dakota",1600000US3830860,"Glen Ullin, ND",46.8150051,-101.829877
152,0101000020E6100000B4DF7FD01FFF59C051B52792F95D4740,true,55,3831420,103,"Golva, ND","Golva city, North Dakota",1600000US3831420,"Golva, ND",46.7341788,-103.9863168
182,0101000020E61000003078E283E88259C01880A1A245734740,true,165,3836860,831,"Hebron, ND","Hebron city, North Dakota",1600000US3836860,"Hebron, ND",46.9005626,-102.0454416
201,0101000020E6100000964E35C442B059C0513D88539CAF4740,true,151,3842700,851,"Killdeer, ND","Killdeer city, North Dakota",1600000US3842700,"Killdeer, ND",47.3719582,-102.7540751
221,0101000020E6100000A354675A07A459C0ED17A2F952704840,true,31,3846540,91,"Lignite, ND","Lignite city, North Dakota",1600000US3846540,"Lignite, ND",48.8775322,-102.5629488
242,0101000020E61000000C0CB4965D4358C043531B41CF714740,true,115,3850580,798,"Mapleton, ND","Mapleton city, North Dakota",1600000US3850580,"Mapleton, ND",46.8891374,-97.0525872
244,0101000020E61000009E7AA4C1EDFA59C0028F5EC3C2254740,true,49,3850860,154,"Marmarth, ND","Marmarth city, North Dakota",1600000US3850860,"Marmarth, ND",46.2950062,-103.9207615
246,0101000020E61000003E810B0D1F5359C06AE44E441AE94740,true,76,3851380,327,"Max, ND","Max city, North Dakota",1600000US3851380,"MAX, ND",47.8211141,-101.2987702
249,0101000020E6100000E7CF6D7830D358C0CAD7AF856A724740,true,76,3851860,297,"Medina, ND","Medina city, North Dakota",1600000US3851860,"Medina, ND",46.8938758,-99.2998334
264,0101000020E61000009D746C4EEF9459C04E147C2EAE2F4740,true,82,3854620,760,"Mott, ND","Mott city, North Dakota",1600000US3854620,"Mott, ND",46.3725031,-102.3271061
