cartodb_id,aland10,area_km2,awater10,countyfp10,funcstat10,geoid10,intptlat10,intptlon10,mtfcc10,name10,namelsad10,statefp10,tractce10,intersect_,well_den,popden2,2010_pop_c,2010_pop_1,2010_pop_2,2010_pop_3,2010_pop_4
7,9748414816,9749.020184999999401,605369,071,S,08071000800,+37.3799686,-103.8162865,G5020,8,Census Tract 8,08,000800,163,0.016719628937767,0,1400000US08071000800,8071000800,"Census Tract 8, Las Animas County, Colorado",2575,221
97,13565881,15.189900000000000,1624019,001,S,08001008802,+39.8520583,-104.9127411,G5020,88.02,Census Tract 88.02,08,008802,4,0.263332872500806,280,1400000US08001008802,8001008802,"Census Tract 88.02, Adams County, Colorado",4255,592
102,783470315,790.557451000000015,7087136,067,S,08067970704,+37.4984107,-107.7646048,G5020,9707.04,Census Tract 9707.04,08,970704,0,0.000000000000000,5,1400000US08067970704,8067970704,"Census Tract 9707.04, La Plata County, Colorado",3719,379
103,147201897,147.201897000000002,0,067,S,08067970703,+37.3033363,-107.8069653,G5020,9707.03,Census Tract 9707.03,08,970703,73,0.495917522041173,30,1400000US08067970703,8067970703,"Census Tract 9707.03, La Plata County, Colorado",4416,397
170,28807404,29.491392000000001,683988,069,S,08069002801,+40.3876853,-105.5093504,G5020,28.01,Census Tract 28.01,08,002801,0,0.000000000000000,111,1400000US08069002801,8069002801,"Census Tract 28.01, Larimer County, Colorado",3288,522
171,1033065481,1036.739219000000048,3673738,069,S,08069002401,+40.8683026,-105.5546688,G5020,24.01,Census Tract 24.01,08,002401,0,0.000000000000000,1,1400000US08069002401,8069002401,"Census Tract 24.01, Larimer County, Colorado",1135,246
172,45165326,45.902593000000003,737267,069,S,08069001808,+40.4320826,-105.2024445,G5020,18.08,Census Tract 18.08,08,001808,0,0.000000000000000,99,1400000US08069001808,8069001808,"Census Tract 18.08, Larimer County, Colorado",4548,283
181,15145733,16.094691000000001,948958,001,S,08001008535,+39.8937823,-104.8801320,G5020,85.35,Census Tract 85.35,08,008535,3,0.186396868383494,189,1400000US08001008535,8001008535,"Census Tract 85.35, Adams County, Colorado",3037,355
188,91616517,91.808921999999995,192405,069,S,08069001809,+40.4715140,-105.1451704,G5020,18.09,Census Tract 18.09,08,001809,3,0.032676562741909,111,1400000US08069001809,8069001809,"Census Tract 18.09, Larimer County, Colorado",10205,502
189,120641554,132.376471000000009,11734917,069,S,08069001709,+40.4115103,-105.0074722,G5020,17.09,Census Tract 17.09,08,001709,250,1.888553140232904,86,1400000US08069001709,8069001709,"Census Tract 17.09, Larimer County, Colorado",11372,875
210,675798359,676.689898999999969,891540,069,S,08069001903,+40.4156766,-105.3449826,G5020,19.03,Census Tract 19.03,08,001903,0,0.000000000000000,6,1400000US08069001903,8069001903,"Census Tract 19.03, Larimer County, Colorado",3986,466
214,936238535,954.349828000000002,18111293,065,S,08065961900,+39.2043161,-106.3496959,G5020,9619,Census Tract 9619,08,961900,0,0.000000000000000,2,1400000US08065961900,8065961900,"Census Tract 9619, Lake County, Colorado",2192,483
260,1309054,1.309054000000000,0,001,S,08001009321,+39.8780219,-105.0202945,G5020,93.21,Census Tract 93.21,08,009321,0,0.000000000000000,3066,1400000US08001009321,8001009321,"Census Tract 93.21, Adams County, Colorado",4014,421
268,101117130,109.402905000000004,8285775,069,S,08069002300,+40.5744102,-105.1922227,G5020,23,Census Tract 23,08,002300,0,0.000000000000000,32,1400000US08069002300,8069002300,"Census Tract 23, Larimer County, Colorado",3500,343
305,2250830,2.251905000000000,1075,059,S,08059010212,+39.8109807,-105.0736093,G5020,102.12,Census Tract 102.12,08,010212,0,0.000000000000000,2039,1400000US08059010212,8059010212,"Census Tract 102.12, Jefferson County, Colorado",4592,312
355,23225685,23.242495999999999,16811,059,S,08059012026,+39.6134723,-105.2997029,G5020,120.26,Census Tract 120.26,08,012026,0,0.000000000000000,136,1400000US08059012026,8059012026,"Census Tract 120.26, Jefferson County, Colorado",3156,350
361,27498892,27.536179000000001,37287,059,S,08059009846,+39.6771687,-105.3327294,G5020,98.46,Census Tract 98.46,08,009846,0,0.000000000000000,168,1400000US08059009846,8059009846,"Census Tract 98.46, Jefferson County, Colorado",4639,245
365,34356881,34.388835999999998,31955,059,S,08059009848,+39.6744441,-105.3852698,G5020,98.48,Census Tract 98.48,08,009848,0,0.000000000000000,65,1400000US08059009848,8059009848,"Census Tract 98.48, Jefferson County, Colorado",2235,328
395,3186000688,3186.034948999999870,34261,103,S,08103951200,+39.9701299,-108.6844752,G5020,9512,Census Tract 9512,08,951200,4563,1.432187679369992,1,1400000US08103951200,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",2635,239
407,954171032,974.551871000000006,20380839,083,S,08083969000,+37.5546706,-108.3195811,G5020,9690,Census Tract 9690,08,969000,30,0.030783379410289,3,1400000US08083969000,8083969000,"Census Tract 9690, Montezuma County, Colorado",3036,363
408,340632522,341.632644000000028,1000122,083,S,08083969600,+37.3309384,-108.5744047,G5020,9696,Census Tract 9696,08,969600,35,0.102449226134257,16,1400000US08083969600,8083969600,"Census Tract 9696, Montezuma County, Colorado",5566,473
418,1419419181,1422.949914999999919,3530734,115,S,08115968300,+40.8715679,-102.3553579,G5020,9683,Census Tract 9683,08,968300,159,0.111739702377367,2,1400000US08115968300,8115968300,"Census Tract 9683, Sedgwick County, Colorado",2412,*****
453,214347387,214.704191000000009,356804,035,S,08035014602,+39.2399227,-104.7060593,G5020,146.02,Census Tract 146.02,08,014602,2,0.009315141873500,11,1400000US08035014602,8035014602,"Census Tract 146.02, Douglas County, Colorado",2423,201
456,63332079,63.359290999999999,27212,035,S,08035013909,+39.4133991,-104.7336589,G5020,139.09,Census Tract 139.09,08,013909,0,0.000000000000000,91,1400000US08035013909,8035013909,"Census Tract 139.09, Douglas County, Colorado",5755,252
457,1505378502,1508.686234999999897,3307733,101,S,08101003600,+38.3778874,-104.2911153,G5020,36,Census Tract 36,08,003600,14,0.009279596827501,1,1400000US08101003600,8101003600,"Census Tract 36, Pueblo County, Colorado",1795,289
461,1605743510,1605.969831000000113,226321,063,S,08063962200,+39.3032334,-102.5824864,G5020,9622,Census Tract 9622,08,962200,132,0.082193324838367,1,1400000US08063962200,8063962200,"Census Tract 9622, Kit Carson County, Colorado",1382,165
462,2081159044,2082.294993999999861,1135950,063,S,08063962300,+39.3180619,-102.9295556,G5020,9623,Census Tract 9623,08,962300,96,0.046102977856940,1,1400000US08063962300,8063962300,"Census Tract 9623, Kit Carson County, Colorado",1095,152
463,1909599575,1910.489233999999897,889659,063,S,08063962100,+39.3072850,-102.2113995,G5020,9621,Census Tract 9621,08,962100,160,0.083748181959135,3,1400000US08063962100,8063962100,"Census Tract 9621, Kit Carson County, Colorado",5679,228
466,42112802,45.029837000000001,2917035,101,S,08101002917,+38.2876786,-104.7262689,G5020,29.17,Census Tract 29.17,08,002917,0,0.000000000000000,59,1400000US08101002917,8101002917,"Census Tract 29.17, Pueblo County, Colorado",2679,212
467,38167233,38.440707000000003,273474,101,S,08101003106,+38.2058960,-104.5804511,G5020,31.06,Census Tract 31.06,08,003106,0,0.000000000000000,40,1400000US08101003106,8101003106,"Census Tract 31.06, Pueblo County, Colorado",1555,320
468,15643731,15.957739000000000,314008,101,S,08101003105,+38.2467890,-104.5106685,G5020,31.05,Census Tract 31.05,08,003105,0,0.000000000000000,198,1400000US08101003105,8101003105,"Census Tract 31.05, Pueblo County, Colorado",3166,228
470,366228669,366.683644000000015,454975,101,S,08101002918,+38.4143234,-104.7333998,G5020,29.18,Census Tract 29.18,08,002918,3,0.008181439366300,14,1400000US08101002918,8101002918,"Census Tract 29.18, Pueblo County, Colorado",5090,380
475,981425638,981.684149000000048,258511,095,S,08095967600,+40.5902559,-102.2201088,G5020,9676,Census Tract 9676,08,967600,253,0.257720367857340,3,1400000US08095967600,8095967600,"Census Tract 9676, Phillips County, Colorado",2876,107
491,1402718909,1404.318451999999979,1599543,091,S,08091967600,+38.1505999,-107.7671334,G5020,9676,Census Tract 9676,08,967600,26,0.018514319143903,3,1400000US08091967600,8091967600,"Census Tract 9676, Ouray County, Colorado",4319,*****
